subcategory,Dia,mes,dia_num,Tipo Dia,Subregión (SGR),CANTIDAD,Cuarta medida correctiva al Código Nacional de Policía más impuesta ,Fallecidos por siniestros viales,Población total de hombres,Población total de mujeres,Porcentaje población de hombres,Porcentaje población de mujeres,Primera medida correctiva al Código Nacional de Policía más impuesta ,Proporción en que son impuestas otras medidas correctivas al Código Nacional de Policía más impuesta ,Puntaje SISBEN: Promedio - Cabecera,Quinta medida correctiva al Código Nacional de Policía más impuesta ,Segunda medida correctiva al Código Nacional de Policía más impuesta ,Tasa de extorsión por cada 100.000 habitantes,Tasa de exÃ¡menes por presunto delito sexual a mujeres por cada 100 mil habitantes,Tasa de exámenes médico legales por presunto delito sexual contra adolescentes,Tasa de exámenes médico legales por presunto delito sexual contra niños y niñas de 0 a 5 años,Tasa de exámenes médico legales por presunto delito sexual contra niños y nñas de 6 a 11 años,Tasa de homicidio intencional en hombres por cada 100.000 habitantes,Tasa de homicidio intencional en mujeres por cada 100.000 habitantes,Tasa de homicidio intencional en áreas rurales por cada 100.000 habitantes,Tasa de homicidio intencional en áreas urbanas por cada 100.000 habitantes,Tasa de homicidio intencional por cada 100.000 habitantes,Tasa de homicidios en accidentes de tránsito por cada 100.000 habitantes,Tasa de homicidios en hombres por cada 100.000 habitantes,Tasa de homicidios en mujeres por cada 100.000 habitantes,Tasa de homicidios en áreas rurales por cada 100.000 habitantes,Tasa de homicidios en áreas urbanas por cada 100.000 habitantes,Tasa de homicidios por cada 100.000 habitantes,Tasa de hurto a personas por cada 100.000 habitantes,Tasa de hurto común por cada 100.000 habitantes,Tasa de lesiones en accidentes de tránsito por cada 100.000 habitantes,Tasa de secuestro por cada 100.000 habitantes,Tasa de violencia contra adolescentes 12 a 17 años,Tasa de violencia contra niños y niñas de 6 a 11 años,Tasa de violencia contra niños y niñas de primera infancia,Tasa de violencia de pareja a mujeres por cada 100 mil habitantes,Tasa de violencia interpersonal por cada 100.000 habitantes,Tasa de violencia intrafamiliar por cada 100.000 habitantes,Tercera medida correctiva al Código Nacional de Policía más impuesta ,Índice de Interrelación de Problemáticas
Despensa,Jueves,8,25,Laboral,Nordeste,6.0,1.04,6.333333333333333,19555.6,19655.6,49.876,50.124,25.26,3.7533333333333334,27.47,0.8300000000000001,1.8566666666666667,35.445,15.24,233.1125,83.69,117.6125,262.7183333333333,15.536666666666667,245.33,116.23833333333334,138.87666666666667,8.574,219.9775,6.470000000000001,178.9475,98.4825,147.07800000000003,61.55666666666667,148.84,7.843333333333334,0.0,324.8,130.2425,66.765,50.57,179.55666666666664,129.465,1.2633333333333334,45.61
Despensa,Jueves,8,25,Laboral,Centro,14.0,2.0366666666666666,6.0,11805.4,12059.8,49.462,50.538,18.33666666666667,4.373333333333334,46.86,1.2233333333333334,5.726666666666667,21.23333333333333,85.01,184.5175,77.5375,118.1225,23.7825,10.55,23.598,8.8,13.654,18.858333333333334,10.97,6.4350000000000005,13.9375,2.355,9.517999999999999,120.19500000000001,203.76,135.36666666666667,0.0,334.3775,115.01499999999999,51.290000000000006,86.94,206.02666666666667,112.6425,2.29,12.5
Despensa,Viernes,8,26,Laboral,Valle del Aburrá,4.0,1.5466666666666669,48.0,261486.0,281410.8,48.164,51.836,23.236666666666668,3.7600000000000002,53.59,1.1833333333333333,2.4266666666666667,20.66,52.55,123.46000000000001,81.2275,109.2,29.548333333333332,3.65,65.97833333333334,14.216666666666667,16.12666666666667,9.423333333333334,23.32,2.695,51.2775,11.09,16.238,364.26,506.9175,40.184999999999995,0.196,285.3825,144.32,92.4775,159.17,138.32666666666668,185.1025,1.8533333333333333,13.84
Dulces y postres,Viernes,8,26,Laboral,Vertiente Oriental,8.0,1.25,10.166666666666666,38737.4,40223.6,49.05800000000001,50.94199999999999,16.646666666666665,2.1300000000000003,35.07,0.9633333333333334,11.240000000000002,5.278333333333333,69.37,149.4675,95.0125,135.655,37.528333333333336,4.468,24.223333333333333,19.616666666666667,20.346666666666668,12.636666666666665,27.7725,3.0999999999999996,17.04,14.7525,17.402,281.3566666666666,419.96,139.065,0.0,311.265,152.0825,71.0875,144.81,198.04999999999998,123.89750000000001,1.7699999999999998,20.95
Dulces y postres,Viernes,8,26,Laboral,Centro,4.0,2.5733333333333333,39.0,105755.4,117064.4,47.46,52.54,16.833333333333332,4.883333333333333,32.65,1.0366666666666666,5.166666666666667,40.53333333333333,62.04,126.655,62.4825,112.6625,101.07166666666666,6.918333333333334,89.32166666666666,43.105,51.571666666666665,11.75,77.555,4.17,69.9325,31.945,53.86800000000001,262.075,350.275,129.44,0.0,217.325,105.28750000000001,51.67,81.63,159.04333333333332,82.7775,3.5066666666666664,15.76
Panadería y Pastelería,Viernes,8,26,Laboral,Alto Oriente,1.0,1.5433333333333332,3.0,9180.6,9036.0,50.398,49.602,19.823333333333334,4.193333333333333,34.53,1.24,5.0,4.44,8.72,113.29,73.86,62.42,48.274,11.1,44.718,16.2625,26.558,11.12,41.582499999999996,0.0,36.5225,9.4375,22.3,31.598333333333333,82.51,48.02166666666667,0.0,76.57,46.9925,46.410000000000004,21.4,82.71333333333332,73.095,2.203333333333333,32.29
Pasabocas,Viernes,8,26,Laboral,Norte,5.0,1.4166666666666667,0.8333333333333334,7787.8,7666.6,50.392,49.61,16.483333333333334,5.933333333333333,42.72,1.4033333333333333,5.28,3.9,17.76,165.56,107.00999999999999,86.58,32.2025,19.75,29.733333333333334,19.7925,21.0825,6.5175,16.1775,6.5925,12.815,9.8825,11.706,36.306,53.7325,33.336666666666666,0.0,41.39,21.645,22.3225,0.0,62.81,35.480000000000004,3.48,23.59
Bebidas,Sabado,8,27,Fin de Semana,Sur,12.0,1.5733333333333333,341.0,1054358.6,1201836.8,46.732,53.26800000000001,13.133333333333333,4.336666666666667,44.69,1.0433333333333332,11.506666666666666,18.853333333333335,65.12,172.7725,88.28999999999999,144.595,99.60666666666667,6.398333333333333,58.51666666666666,49.76,49.955000000000005,12.301666666666668,79.0475,4.220000000000001,39.8775,39.120000000000005,49.724000000000004,794.5383333333333,1018.72,124.80666666666667,0.368,347.88250000000005,164.3225,103.1,160.38,248.88,184.1275,2.4066666666666667,10.35
Belleza,Sabado,8,27,Fin de Semana,Vertiente del Pacífico,6.0,1.9666666666666668,3.1666666666666665,14002.0,13554.6,50.81,49.19,19.05666666666667,4.1466666666666665,35.08,1.1333333333333333,4.833333333333333,10.976,18.17,89.145,45.83,78.21000000000001,28.736666666666665,7.3,17.648333333333333,27.700000000000003,15.171666666666667,9.756666666666666,19.85,1.8475,10.1,13.84,14.559999999999999,22.515,62.29,63.84,0.0,63.6525,65.29,9.5675,15.23,85.77,44.6475,2.86,33.96
Dulces y postres,Sabado,8,27,Fin de Semana,Alto Oriente,12.0,2.58,0.16666666666666666,1394.4,1249.0,52.748000000000005,47.251999999999995,13.123333333333335,10.110000000000001,39.46,2.5166666666666666,3.0866666666666673,0.0,64.98467190486303,198.26123218604954,126.69867211386399,438.6,72.24000000000001,13.382137469710932,55.720000000000006,39.42136023264268,38.12,12.996666666666668,55.23,0.0,42.71,0.0,38.9075,12.996666666666668,58.085,0.0,0.0,115.2075,109.65,90.91,124.97187288569963,25.763333333333332,67.875,2.5866666666666664,35.24
